Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Deployed to Prod),Custom field (Impact to User),Custom field (Patch Description),Custom field (QA Feature),Custom field (QA Status),Custom field (Question Details),Custom field (Rank),Custom field (Severity),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Tester),Custom field (Ticket Health),Custom field (Triaged By),Custom field (ZaaS Rank),Comment,Comment,Comment
"Fix to steps on ""C4919626"" scenario",ZING-1958,64675,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,08/Jan/19 10:45 AM,21/Jan/19 11:43 AM,30/Mar/19 9:25 PM,21/Jan/19 11:43 AM,,,,0,e2e,,,There are some steps that have a bad related entity and metrics,,sgonzalez,,,,,,,,,,21/Jan/19 11:43 AM,,,,QA not applicable,,0|w00148:,3,,,,Ticket Healthy,,0|i088bz:,,,
Edit user,ZING-1925,64602,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,04/Jan/19 12:08 PM,21/Jan/19 11:43 AM,30/Mar/19 9:25 PM,21/Jan/19 11:43 AM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/5266682,,sgonzalez,,,,,,,,,,21/Jan/19 11:43 AM,,,,QA not applicable,,0|w000o8:,3,,,,Ticket Healthy,,0|i087vr:,,,
Filter the list of users via the group filter,ZING-1924,64601,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,04/Jan/19 11:53 AM,21/Jan/19 12:23 PM,30/Mar/19 9:25 PM,21/Jan/19 12:23 PM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/5012664,,sgonzalez,,,,,,,,,,21/Jan/19 12:23 PM,,,,QA not applicable,,0|w000o0:,3,,,,Ticket Healthy,,0|i087vj:,,,
A user with a group can login,ZING-1923,64600,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,04/Jan/19 11:51 AM,21/Jan/19 12:23 PM,30/Mar/19 9:25 PM,21/Jan/19 12:23 PM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/5266681,,sgonzalez,,,,,,,,,,21/Jan/19 12:23 PM,,,,QA not applicable,,0|w000ns:,3,,,,Ticket Healthy,,0|i087vb:,,,
An error is displayed if password does not meet minimum requirements,ZING-1922,64599,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,04/Jan/19 11:48 AM,21/Jan/19 12:23 PM,30/Mar/19 9:25 PM,21/Jan/19 12:23 PM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/5656310,,sgonzalez,,,,,,,,,,21/Jan/19 12:23 PM,,,,QA not applicable,,0|w000nk:,3,,,,Ticket Healthy,,0|i087v3:,,,
Add a pending user scenario,ZING-1921,64598,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,04/Jan/19 11:44 AM,21/Jan/19 11:11 AM,30/Mar/19 9:25 PM,21/Jan/19 11:11 AM,,,,0,e2e,,,Create a pending user scenario,,sgonzalez,,,,,,,,,,21/Jan/19 11:11 AM,,,,QA not applicable,,0|w000nc:,3,,,,Ticket Healthy,,0|i087uv:,,,
A user without a group cannot login,ZING-1920,64597,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,04/Jan/19 11:41 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,17/Jan/19 6:33 AM,,,,0,e2e,,,"Feature: User management and permissions
User can create a user and assign

A user without a group cannot login

Ticket: https://testrail.zenoss.com/index.php?/cases/view/5012663",,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|w000n4:,3,,,,Ticket Healthy,rserrano,0|i087un:,,,
A user created for one tenant cannot login to another tenant,ZING-1919,64596,64595,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,04/Jan/19 11:39 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,"Feature: User management and permissions

User can create a user and assign

A user created for one tenant cannot login to another tenant

 

Ticket: https://testrail.zenoss.com/index.php?/cases/view/5012662",,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|w000mw:,3,,,,Ticket Healthy,,0|i087uf:,,,
User management and permissions,ZING-1918,64595,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,,sgonzalez,sgonzalez,04/Jan/19 11:15 AM,06/Feb/19 3:16 PM,30/Mar/19 9:25 PM,06/Feb/19 3:16 PM,,,,0,e2e,,,User can create a user and assign,,sgonzalez,,,,,,,,,,06/Feb/19 3:16 PM,,,,QA not applicable,,0|w000mo:,3,,,sgonzalez,Ticket Healthy,,0|i087u7:,,,
Verify Auth0 lock works after logout,ZING-1877,64354,64531,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,17/Dec/18 8:36 PM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,11/Jan/19 9:30 AM,,,,0,e2e,,,"This TC Verifies that after logging out Auth0 enforces the verification of credentials - ZING-673

Ticket: http://testrail.zenoss.loc/index.php?/cases/view/4413974",,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00ge8:,3,,,,Ticket Healthy,dmorua,0|i086vb:,,,
Add automation identifiers for locators that changed,ZING-1870,64339,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,17/Dec/18 6:25 AM,31/Jan/19 2:11 PM,30/Mar/19 9:25 PM,16/Jan/19 7:59 AM,,,,0,e2e,,,"With the latest change in vue som locators used in automation started to fail, they will be updated in the UI and the test framewrok.",,jrivera,rserrano,,,,,,,,,16/Jan/19 7:59 AM,,,,QA complete,,0|u00gaw:,3,,,jrivera,Ticket Healthy,rserrano,0|i086rz:,08/Jan/19 11:37 AM;jrivera;Verified as fixed on staging,,
Verify that Collection Zones display their Explore icon,ZING-1818,64057,64054,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,05/Dec/18 12:02 PM,12/Dec/18 9:28 AM,30/Mar/19 9:25 PM,12/Dec/18 9:28 AM,,,,0,e2e,,,"This TC verifies that the Collection Zone displays an explore icon to display a Collection Zone.

Ticket: https://testrail.zenoss.com/index.php?/cases/view/4227662",,sgonzalez,,,,,,,,,,12/Dec/18 9:28 AM,,,,QA not applicable,,0|u00f28:,3,,,,Ticket Healthy,rserrano,0|i085if:,,,
Verify that Collection Zones display a Valid Name,ZING-1817,64056,64054,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,sgonzalez,sgonzalez,05/Dec/18 12:01 PM,27/Dec/18 9:54 AM,30/Mar/19 9:25 PM,27/Dec/18 9:54 AM,,,,0,e2e,,,"This TC verifies that the Collection Zone displays a valid name.

TIcket: https://testrail.zenoss.com/index.php?/cases/view/4227661",,dmorua,rserrano,sgonzalez,,,,,,,,27/Dec/18 9:54 AM,,,,QA not applicable,,0|u00f20:,3,,,,Ticket Healthy,,0|i085i7:,05/Dec/18 1:42 PM;rserrano;What are the specific valid names or validations to  take into consideration?,18/Dec/18 4:43 PM;dmorua;After talking to [~jmatos] - right now there aren't any defined rules for CZ's naming as Ops creates the collection zones. Once users start naming their CZ's there we will establish valid naming conventions. ,19/Dec/18 7:01 AM;rserrano;[~dmorua] so we can just verify that there is some text visible for the given field. 
Verify that Collection Zones display the Added timestamp,ZING-1816,64055,64054,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,sgonzalez,sgonzalez,05/Dec/18 12:01 PM,12/Dec/18 9:27 AM,30/Mar/19 9:25 PM,12/Dec/18 9:27 AM,,,,0,e2e,,,"This TC verifies that the Collection Zone displays a valid deployed timestamp.

Testrail: https://testrail.zenoss.com/index.php?/cases/view/4227660",,rserrano,sgonzalez,,,,,,,,,12/Dec/18 9:27 AM,,,,QA not applicable,,0|u00f1s:,3,,,,Ticket Healthy,,0|i085hz:,05/Dec/18 1:41 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/83,,
Smart View - Automating Collection Zones functionality,ZING-1815,64054,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,05/Dec/18 12:00 PM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Automating Collection Zones functionality,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00f1k:,3,,,,Ticket Healthy,,0|i085hr:,,,
The `z-nav` class was removed from the Smartview header top menu,ZING-1814,64052,,Defect,Prod Stack,ZING,ZING,software,ian,,Fixed,rzino,sgonzalez,sgonzalez,05/Dec/18 11:26 AM,17/Jan/19 4:14 PM,30/Mar/19 9:25 PM,16/Jan/19 7:59 AM,,,,0,e2e,zui,,"*[Description]*

In the e2e-long tenant, the z-nav does not exist

*[Steps]*
 # Login on Zenoss Cloud. E.g: [https://e2e-long.zenoss.io|https://qa-long.zenoss.io/]
 # Inspect the header html from this page

*[Observed Results]*

Does not exist the `z-nav` class on the header top menu.  !not_z-nav_class.png|thumbnail!

*[Expected Results]*

The `z-nav`  class should be there like the qa-long environment.

 ",,dmorua,jmatos,sgonzalez,,,,,05/Dec/18 11:24 AM;sgonzalez;not_z-nav_class.png;https://jira.zenoss.com/secure/attachment/57665/not_z-nav_class.png,,,16/Jan/19 7:59 AM,,,,QA complete,,0|hzzzr1:2ri,2,,,sgonzalez,Ticket Healthy,,0|i085hb:,05/Dec/18 11:30 AM;jmatos;A recent change removed the `.z-nav` class. The class should be added back.,07/Dec/18 1:38 PM;dmorua;.z-nav class added back in. QA verified.,
Users and groups page object creation,ZING-1808,63982,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,04/Dec/18 11:16 AM,31/Jan/19 2:12 PM,30/Mar/19 9:25 PM,27/Dec/18 9:56 AM,,,,0,e2e,,,Create the base page object structure for the page objects and its functionality for the scenarios that are pending to automate,,dmorua,rserrano,,,,,,,,,27/Dec/18 9:56 AM,,,,QA not applicable,,0|u00els:,3,,3,,Ticket Healthy,wgerber,0|i0851r:,06/Dec/18 9:08 AM;dmorua;Verified the addition of new properties.,,
Verify that Help links open Confluence help section,ZING-1794,63935,63933,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,03/Dec/18 8:58 AM,22/Jan/19 7:43 AM,30/Mar/19 9:25 PM,22/Jan/19 7:43 AM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/4227659,,sgonzalez,,,,,,,,,,22/Jan/19 7:43 AM,,,,QA complete,,0|u00ebc:,3,,,,Ticket Healthy,,0|i084rb:,,,
Verify that a User is able to open the 'Help and Information' menu,ZING-1793,63934,63933,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,03/Dec/18 8:57 AM,22/Jan/19 7:42 AM,30/Mar/19 9:25 PM,22/Jan/19 7:42 AM,,,,0,e2e,,,Testrail: https://testrail.zenoss.com/index.php?/cases/view/4227658,,sgonzalez,,,,,,,,,,22/Jan/19 7:42 AM,,,,QA complete,,0|u00eb4:,3,,,,Ticket Healthy,,0|i084r3:,,,
Smart View - Automating Help functionality,ZING-1792,63933,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,03/Dec/18 8:56 AM,22/Jan/19 7:43 AM,30/Mar/19 9:25 PM,22/Jan/19 7:43 AM,,,,0,e2e,,,Automating Smart View Help functionality,,sgonzalez,,,,,,,,,,22/Jan/19 7:43 AM,,,,QA complete,,0|u00eaw:,3,,,,Ticket Healthy,,0|i084qv:,,,
Add a small graph section on the automation framework,ZING-1791,63931,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,03/Dec/18 7:38 AM,22/Jan/19 7:43 AM,30/Mar/19 9:25 PM,22/Jan/19 7:43 AM,,,,0,e2e,,,"Change some verifications from `All graph` section to `small graph` section on the automation framework.

Check these scenarios:

NIGHTWATCH_RUN_TAGS=C4614466,C4891404,C4901722,C4910677,C4919626

These changes should fix some scenarios that have scroll issues and unknown metrics (who mectrics shoold be on small graph section). ",,sgonzalez,,,,,,,,,,22/Jan/19 7:43 AM,,,,QA not applicable,,0|u00eag:,3,,,,Ticket Healthy,,0|i084qf:,,,
e2e global test data entity names need to be more generic,ZING-1758,63847,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,jmatos,jmatos,29/Nov/18 8:57 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,"Currently the names of entities used by the test runner are named too precisely in globalData.js https://github.com/zenoss/zing-e2e/blob/develop/config/testData.js

The entity names need to be vague so that the entity under test can change depending on the stack it is running against. For instance, the entity ""Callhome"" may exist on Stack A, but not Stack B. Yet, tests will still try need to run against *something* on Stack B.

The solution is to rename ""Callhome"" to something more generic like ""LinuxServer1"". On StackA, ""LinuxServer1"" will contain data that maps to the ""Callhome"" device. On StackB, ""LinuxServer1"" will contain data that maps to some other device. 

Either way, when the tests run, they run against ""LinuxServer1"", and the test runner chooses the right data for the stack.",,jmatos,rserrano,,,,,,,,,22/Jan/19 7:47 AM,,,,QA complete,,0|u00ds0:,3,,,,Ticket Healthy,,0|i08487:,29/Nov/18 5:14 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/75,,
E2e testing - Change selector from big graph line,ZING-1721,63775,,Defect,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,27/Nov/18 2:03 PM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,"The `.graph` class has changed on `zing-web` project, so we need to change on e2e automation.",,sgonzalez,wgerber,,,,,,,,,22/Jan/19 7:47 AM,,,,QA automated,,0|u00dc8:,3,Run NW framework: http://i.imgur.com/vbobQLf.png,,sgonzalez,Ticket Healthy,,0|i083s7:,"28/Nov/18 8:50 AM;wgerber;This ticket has not been merged yet, so it hasn't gone to the testing stack yet.  As such, I am kicking it back to in progress until it gets merged. 

Reminder:  If the ticket reflects changes that are pushed out automatically by Jenkins, then don't update the ticket status.  I will be doing that manually once I see them in the change log for a stack.  Eventually this will be fully automated.","28/Nov/18 9:05 AM;sgonzalez;OK, I understand sorry :(",
Verify anomalies are being displayed,ZING-1707,63742,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Nov/18 11:10 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,TIcket: https://testrail.zenoss.com/index.php?/cases/view/4305406,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00d4w:,3,,,,Ticket Healthy,,0|i083kv:,,,
Verify baselines are being displayed around graph data,ZING-1706,63741,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Nov/18 11:07 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/4305405,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00d4o:,3,,,,Ticket Healthy,,0|i083kn:,"21/Dec/18 7:02 AM;sgonzalez;The baselines refer to the confidence bands, which are the blue areas around the graph line.",,
Set different primary charts,ZING-1705,63740,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Nov/18 11:06 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Ticket: https://testrail.zenoss.com/index.php?/cases/view/4305404,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00d4g:,3,,,,Ticket Healthy,,0|i083kf:,,,
Select time ranges using the primary metric's time slider,ZING-1704,63739,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Nov/18 11:05 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Testrail: https://testrail.zenoss.com/index.php?/cases/view/4322777,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00d48:,3,,,,Ticket Healthy,,0|i083k7:,,,
Verify that the device link in the entity's Information modal takes you to the correct place,ZING-1703,63738,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,26/Nov/18 11:04 AM,22/Jan/19 7:41 AM,30/Mar/19 9:25 PM,22/Jan/19 7:41 AM,,,,0,e2e,,,Testrail: https://testrail.zenoss.com/index.php?/cases/view/4227667,,sgonzalez,,,,,,,,,,22/Jan/19 7:41 AM,,,,QA not applicable,,0|u00d40:,3,,,,Ticket Healthy,,0|i083jz:,,,
Verify that the collection zone link in the entity's Information modal takes you to the correct place,ZING-1702,63737,63736,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,euribe,sgonzalez,sgonzalez,26/Nov/18 11:03 AM,22/Jan/19 7:41 AM,30/Mar/19 9:25 PM,22/Jan/19 7:41 AM,,,,0,e2e,,,Testrail: https://testrail.zenoss.com/index.php?/cases/view/4227666,,sgonzalez,,,,,,,,,,22/Jan/19 7:41 AM,,,,QA not applicable,,0|u00d3s:,3,,,,Ticket Healthy,,0|i083jr:,,,
Smart View - Automating Anchor Entity functionality,ZING-1701,63736,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,26/Nov/18 11:02 AM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Anchor Entity functionality,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00d3k:,3,,,,Ticket Healthy,,0|i083jj:,,,
Select from the quick-pick time ranges,ZING-1695,63687,63685,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,22/Nov/18 4:47 PM,06/Dec/18 3:14 PM,30/Mar/19 9:25 PM,06/Dec/18 3:14 PM,,,,0,e2e,,,"Change the time range of the data using the quick-pick buttons.

Testrail: https://testrail.zenoss.com/index.php?/cases/view/4305410&group_by=cases:section_id&group_order=asc&group_id=475259",,sgonzalez,,,,,,,,,,06/Dec/18 3:14 PM,,,,QA not applicable,,0|u00cso:,3,,,,Ticket Healthy,,0|i0838n:,,,
Select time ranges using the time slider,ZING-1694,63686,63685,Sub-Task,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,22/Nov/18 4:46 PM,22/Jan/19 7:42 AM,30/Mar/19 9:25 PM,22/Jan/19 7:42 AM,,,,0,e2e,,,"Change the time range of the data using the time slider.

Testrail: https://testrail.zenoss.com/index.php?/cases/view/4305411&group_by=cases:section_id&group_order=asc&group_id=475259",,sgonzalez,,,,,,,,,,22/Jan/19 7:42 AM,,,,QA not applicable,,0|u00csg:,3,,,,Ticket Healthy,,0|i0838f:,,,
Smart View - Automating Header Area functionality,ZING-1693,63685,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,sgonzalez,sgonzalez,22/Nov/18 4:45 PM,22/Jan/19 7:47 AM,30/Mar/19 9:25 PM,22/Jan/19 7:47 AM,,,,0,e2e,,,Header Area functionality,,sgonzalez,,,,,,,,,,22/Jan/19 7:47 AM,,,,QA not applicable,,0|u00cs8:,3,,,sgonzalez,Ticket Healthy,,0|i08387:,,,
Change the browser size on NW framework,ZING-1626,63456,,Enhancement,Prod Stack,ZING,ZING,software,ian,P3,Fixed,sgonzalez,sgonzalez,sgonzalez,15/Nov/18 9:26 AM,08/Jan/19 1:28 PM,30/Mar/19 9:25 PM,15/Nov/18 2:43 PM,CD - Continuous Deployment,CD - Continuous Deployment,,0,e2e,,,This change will help ZING-1613 issue,,sgonzalez,,,,,,,,,,01/Jan/18 10:44 AM,,,Undefined,QA not applicable,,0|u00bqg:,3,,,,Ticket Healthy,sgonzalez,0|i08267:,,,
The NW framework is not finding some elements on Smartview UI,ZING-1613,63406,,Enhancement,Prod Stack,ZING,ZING,software,ian,P2,Fixed,rserrano,sgonzalez,sgonzalez,13/Nov/18 3:26 PM,11/Feb/19 3:33 PM,30/Mar/19 9:25 PM,06/Feb/19 3:15 PM,CD - Continuous Deployment,,,0,e2e,,,"We found the NW automation had some scenarios failures like these:  !not_metric_found.png|thumbnail!  

We started researching about that, looks like that automation is not seeing the big graph title, we should apply a scroll to move it up:  !not_metric_found1.png|thumbnail!

This issue is affecting two scenarios:
{code:java}
C4614466,C4891404,C4919626
{code}",,rserrano,sgonzalez,,,,,,13/Nov/18 3:27 PM;sgonzalez;not_metric_found.png;https://jira.zenoss.com/secure/attachment/57172/not_metric_found.png,13/Nov/18 3:27 PM;sgonzalez;not_metric_found1.png;https://jira.zenoss.com/secure/attachment/57173/not_metric_found1.png,,06/Feb/19 3:15 PM,,,Undefined,QA automated,,0|u00bfk:,3,,,dmorua,Ticket Healthy,rserrano,0|i081v3:,13/Nov/18 3:40 PM;rserrano;Pull request: https://github.com/zenoss/zing-e2e/pull/63,,
Create user and groups e2e and acceptance test features/scenarios,ZING-1609,63393,,Story,Prod Stack,ZING,ZING,software,ian,Undetermined,Fixed,rserrano,jmatos,jmatos,13/Nov/18 10:39 AM,08/Feb/19 10:52 AM,30/Mar/19 9:25 PM,06/Feb/19 3:17 PM,,,,0,e2e,,,"User and group management needs some e2e and acceptance test features and scenarios written as given/when/then.

There should be some high value tests which represent a realistic user journey, and any number of smaller tests which verify functionality.",,jmatos,rserrano,,,,,,,,,06/Feb/19 3:17 PM,,,,QA complete,,0|u00bcw:,3,,,,Ticket Healthy,,0|i081s7:,19/Nov/18 10:44 AM;rserrano;PR: https://github.com/zenoss/zing-e2e/pull/67,,
Acceptance tests for group management,ZING-1525,63151,,Story,Backlog,ZING,ZING,software,ian,P3,,rserrano,jmatos,jmatos,06/Nov/18 11:36 AM,06/Feb/19 3:15 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Create acceptance tests for viewing, adding, editing, and removing groups.

Depends on: https://jira.zenoss.com/browse/ZING-1521",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a68:,3,,,,Ticket Healthy,,0|i080kf:,,,
Acceptance tests for metric voting,ZING-1524,63150,,Story,Backlog,ZING,ZING,software,ian,P3,,,jmatos,jmatos,06/Nov/18 11:35 AM,30/Nov/18 9:12 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Create acceptance tests for metric voting, ordering, etc.

Depends on: https://jira.zenoss.com/browse/ZING-1521",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a60:,3,,,,Ticket Healthy,,0|i080k7:,,,
Acceptance tests for entity voting,ZING-1523,63149,,Story,Backlog,ZING,ZING,software,ian,P3,,,jmatos,jmatos,06/Nov/18 11:35 AM,30/Nov/18 9:12 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Create acceptance tests for related entity voting, ordering, etc.

Depends on: https://jira.zenoss.com/browse/ZING-1521",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a5s:,3,,,,Ticket Healthy,,0|i080jz:,,,
Acceptance tests for anomalies,ZING-1522,63148,,Story,Backlog,ZING,ZING,software,ian,P3,,,jmatos,jmatos,06/Nov/18 11:34 AM,30/Nov/18 9:12 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Create acceptance tests for the appearance of anomalies in Smart View.

Depends on: https://jira.zenoss.com/browse/ZING-1521",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a5k:,3,,,,Ticket Healthy,,0|i080jr:,,,
Figure out acceptance tests data strategy,ZING-1521,63147,,Story,Backlog,ZING,ZING,software,ian,P3,,sgonzalez,jmatos,jmatos,06/Nov/18 11:28 AM,30/Nov/18 9:12 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"The e2e tests run on data which already exists and is mapped in the test runner. This makes them very fast but still highly valuable.

Acceptance tests will need to have full control over the data to enable more complex tests. This means that the tests will need to perform setup and teardown which takes a lot of time. We need to figure out what data will be setup, how, when, etc.",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a5c:,3,,,,Ticket Healthy,,0|i080jj:,"07/Nov/18 2:29 PM;jmatos;- We can manipulate metric and model data by pushing datamaps into zing in the same way existing smoke tests do: https://github.com/zenoss/zing-perf/blob/master/smoke_tests/features/steps/entity_steps.py
- We can affect users and groups using the UI or graphql
- We can do user level voting using the UI or graphql. If we can create tenants and users, this should be enough to also test tenant-level recommendations.
- We cannot directly create anomaly data.",,
Create a new page object in each step def,ZING-1520,63146,,Story,Prod Stack,ZING,ZING,software,ian,Undetermined,Fixed,sgonzalez,jmatos,jmatos,06/Nov/18 11:07 AM,08/Jan/19 1:56 PM,30/Mar/19 9:25 PM,19/Nov/18 2:34 PM,,,,0,e2e,,,"Currently, steps defs create a few top level page object which is shared through all step defs. If the page object ends up in a bad state (which is occurring right now due to a nightwatch bug), then all of the steps which are run afterwards will fail since they use the same PO.

Each stepdef should create a PO to perform its work with.",,jmatos,,,,,,,,,,01/Jan/18 8:48 AM,,,,QA automated,,0|u00a54:,3,,,,Ticket Healthy,,0|i080jb:,,,
"If automation user is already logged in, dont re-login",ZING-1519,63145,,Story,Prod Stack,ZING,ZING,software,ian,Undetermined,Fixed,rserrano,jmatos,jmatos,06/Nov/18 11:05 AM,08/Jan/19 1:56 PM,30/Mar/19 9:25 PM,06/Dec/18 8:20 AM,,,,0,e2e,,,"During test runs, if the test calls for a user to log in and they are already logged in, do not perform login steps again. 

This should speed up tests quite a lot. The code change should have no impact on the tests themself, and should be fully encapsulated in the relevant pageobject/section.",,jmatos,rserrano,,,,,,,,,06/Dec/18 8:20 AM,,,,QA automated,,0|u00a4w:,3,,,,Ticket Healthy,,0|i080j3:,09/Nov/18 2:17 PM;rserrano;https://github.com/zenoss/zing-e2e/pull/61,,
Capture browser console output on test failure,ZING-1518,63144,,Story,Backlog,ZING,ZING,software,ian,Undetermined,,rserrano,jmatos,jmatos,06/Nov/18 11:03 AM,06/Feb/19 3:16 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"Sometimes when tests fail, the web browser console contains useful hints about why. Capture that output and include it in test failures and reports.",,jmatos,,,,,,,,,,,,,,QA needed,,0|u00a4o:,3,,,,Ticket Healthy,,0|i080iv:,,,
